"Source:","C:\Users\srdja\OneDrive\Radna površina\PRIUMS\Projekat\Projekat.kicad_sch"
"Date:","1/13/2024 11:18:58 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","SNAPEDA_PN","STANDARD","SnapEDA_Link"
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","","","","","","","","","","","","",""
"","","C1","0.022uF","Device:C","Capacitor_THT:C_Rect_L26.5mm_W11.5mm_P22.50mm_MKS4","~","","","","","","","","","","","","","",""
"","","C2","1uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C4","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C5","3.3uF",":Cap_pol_1","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"","","C6","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C8","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C9","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"","","C10","20pF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C11","0.1uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C12","0.47uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","C13","0.22uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","C14","100pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","C15","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","","","","","",""
"","","C16","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","","","","","",""
"","","C17","10pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","D1","1N4148",":1N4148_1","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"","","D2","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"","","D3","1N4448","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"","","D4","Green","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm","~","","","","","","","","","","","","","",""
"","","D5","1N4002","Diode:1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","","","","","","","",""
"","","IC1","AD737","PRIUMS_STANDARD:AD737","Package_DIP:DIP-8_W10.16mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ad737.pdf","","","","","","","","","","","","","",""
"","","J1","COMM","Connector:Conn_01x01_Female","Connector:Banana_Jack_1Pin","~","","","","","","","","","","","","","",""
"","","J2","V","Connector:Conn_01x01_Female","Connector:Banana_Jack_1Pin","~","","","","","","","","","","","","","",""
"","","J3","Battery Connector","Connector_Generic:Conn_01x02","","~","","","","","","","","","","","","","",""
"","","R1","1M","Device:R_US","Resistor_SMD:R_1812_4532Metric","~","","","","","","","","","","","","","",""
"","","R2","11K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R3","1.5K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R4","11M","Device:R_US","Resistor_SMD:R_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","R5","47K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R6","330","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R7","47K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R8","100K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R9","100K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
